"row_id","native_value","source_variant_ids","legacy_dimension","epistemic_kind","dimension","derivation_or_subtype","logical_note","classification_rationale","boundary_note"
"ctx_001","abrupt change in fever curve","acr_126_v5","severity_or_complication","factual","signs_and_labs","trajectory_comparison","change predicate","A fever-curve change is checkable from serial measurements.","It may support significant deterioration but is not itself the global deterioration judgment."
"ctx_002","abrupt decrease in hemoglobin or hematocrit","acr_126_v5","severity_or_complication","factual","signs_and_labs","trajectory_comparison","OR over hemoglobin and hematocrit","A decrease is checkable from serial laboratory values.","It is evidence for deterioration rather than the synthesized deterioration state."
"ctx_003","acute pancreatitis","acr_126_v3;acr_126_v4;acr_126_v6","condition","inferential","diagnosis","established_diagnostic_frame","atomic","A named disease state requires diagnostic interpretation even when ACR states it without a certainty adjective.","Do not infer it from an isolated enzyme elevation."
"ctx_004","atypical signs and symptoms","acr_126_v2","presentation","inferential","evidence_interpretation","pattern_interpretation","collective pattern judgment","Atypicality is a judgment relative to an expected clinical pattern, not a raw symptom.","Extract the underlying symptoms or signs separately when the patient record provides them."
"ctx_005","continued SIRS","acr_126_v4","severity_or_complication","inferential","severity_or_complication","rule_derived_course_state","SIRS plus persistence","SIRS is a derived syndrome and continued adds a trajectory judgment.","Link to the component observations and timepoints when available."
"ctx_006","continued abdominal pain","acr_126_v6","presentation","factual","symptoms","reported_symptom_course","symptom plus persistence qualifier","Pain and its persistence can be directly reported by the patient or chart.","Preserve the persistence qualifier; do not convert it into deterioration without support."
"ctx_007","critically ill","acr_126_v3","severity_or_complication","inferential","severity_or_complication","global_severity_judgment","atomic judgment","Critically ill is a synthesized overall severity assessment.","Do not equate a single abnormal vital sign with this judgment."
"ctx_008","early satiety","acr_126_v6","presentation","factual","symptoms","reported_symptom","atomic","Early satiety is a patient-reported manifestation.","None."
"ctx_009","elevated WBC count","acr_132_v4","presentation","factual","signs_and_labs","thresholded_laboratory_state","atomic threshold state","The WBC measurement and its reference-range comparison are directly checkable.","Keep the numeric result when available; do not infer infection solely from elevation."
"ctx_010","epigastric pain","acr_126_v1","presentation","factual","symptoms","reported_symptom","atomic","Pain location is a patient-reported manifestation.","None."
"ctx_011","equivocal amylase and lipase values","acr_126_v2","presentation","inferential","evidence_interpretation","uncertainty_assessment","AND over two tests plus equivocality judgment","Equivocal describes how the laboratory evidence should be interpreted, not merely its measured value.","Extract the numeric enzyme values separately under signs_and_labs when present."
"ctx_012","fever","acr_126_v4;acr_132_v4;acr_21_v2;acr_21_v3","presentation","factual","signs_and_labs","observed_sign","atomic","Fever can be checked from a documented temperature or explicit clinical observation.","Record the actual temperature and timing when available."
"ctx_013","first time presentation","acr_126_v1","encounter_status","factual","encounter_stage","encounter_metadata","atomic stage predicate","This describes the episode's visit status rather than an imaging interpretation.","It is distinct from initial imaging; a first presentation may already include outside imaging."
"ctx_014","greater than 4 weeks after symptom onset","acr_126_v6","timing","factual","disease_timing","relative_time","greater-than threshold","The interval can be derived from documented onset and decision time.","Unknown onset must remain unknown rather than being estimated from the diagnosis date."
"ctx_015","greater than 48 to 72 hours after onset of symptoms","acr_126_v3","timing","factual","disease_timing","relative_time","greater-than range threshold","The interval can be derived from documented symptom onset.","Preserve the ACR range wording instead of replacing it with a single cutoff."
"ctx_016","greater than 7 to 21 days after onset of symptoms","acr_126_v4","timing","factual","disease_timing","relative_time","greater-than range threshold","The interval can be derived from documented symptom onset.","The source wording is not a simple bounded 7-to-21-day interval; preserve it verbatim pending predicate compilation."
"ctx_017","hypotension","acr_126_v5","severity_or_complication","factual","signs_and_labs","observed_vital_sign_state","atomic threshold state","Blood pressure and a documented hypotensive state are directly checkable.","It may support deterioration but is not itself the synthesized deterioration judgment."
"ctx_018","increase in white blood cells","acr_126_v5","severity_or_complication","factual","signs_and_labs","trajectory_comparison","change predicate","An increase is checkable from serial WBC measurements.","Distinguish an increase from a single elevated value."
"ctx_019","increased amylase and lipase","acr_126_v1","presentation","factual","signs_and_labs","thresholded_laboratory_state","AND over amylase and lipase","The enzyme measurements and reference-range comparisons are checkable.","Both conjuncts are required by the native phrase; one elevated enzyme is only a partial match."
"ctx_020","initial","acr_126_v1;acr_126_v2;acr_132_v1;acr_132_v2;acr_20_v1;acr_20_v2;acr_20_v3;acr_21_v1;acr_21_v2;acr_21_v3","imaging_stage","factual","imaging_stage","imaging_sequence_metadata","atomic stage predicate","Initial denotes the first imaging stage for the ACR-framed problem.","Do not infer initial merely because no relevant report appears in an incomplete record."
"ctx_021","known necrotizing pancreatitis","acr_126_v5","condition","inferential","severity_or_complication","established_complication_state","known AND pancreatitis AND necrotizing","Necrotizing specifies a severe pathologic subtype beyond the base pancreatitis diagnosis.","Compile into diagnosis=pancreatitis plus complication=necrotizing with certainty=known while retaining the native phrase."
"ctx_022","known pancreatic or peripancreatic fluid collections","acr_126_v6","condition","inferential","severity_or_complication","established_complication_state","known AND fluid collection AND pancreatic-or-peripancreatic location","A fluid collection is a named complication/pathologic state rather than a symptom.","Preserve the location OR and link the judgment to prior imaging evidence when instantiated."
"ctx_023","left lower quadrant pain","acr_20_v1;acr_20_v2;acr_20_v3","presentation","factual","symptoms","reported_symptom","atomic","Pain location is a patient-reported manifestation.","None."
"ctx_024","less than 48 to 72 hours after symptom onset","acr_126_v1","timing","factual","disease_timing","relative_time","less-than range threshold","The interval can be derived from documented symptom onset.","Preserve the ACR range wording instead of replacing it with a single cutoff."
"ctx_025","leukocytosis","acr_126_v4;acr_21_v2;acr_21_v3","presentation","factual","signs_and_labs","thresholded_laboratory_state","atomic threshold state","The WBC measurement and threshold classification are directly checkable.","It does not by itself establish infection or SIRS."
"ctx_026","nausea","acr_126_v6","presentation","factual","symptoms","reported_symptom","atomic","Nausea is a patient-reported manifestation.","None."
"ctx_027","negative or equivocal","acr_132_v3;acr_132_v4;acr_132_v5","prior_result","inferential","evidence_interpretation","prior_test_result_assessment","OR over negative and equivocal","Negative or equivocal summarizes the interpreted state of a prior test.","It must link to prior_test=ultrasound; nonvisualization must not be silently treated as equivalent."
"ctx_028","next","acr_132_v3;acr_132_v4;acr_132_v5","imaging_stage","factual","imaging_stage","imaging_sequence_metadata","atomic stage predicate","Next denotes an imaging decision after prior imaging in the ACR-framed pathway.","It does not specify repeat versus modality switch and should not be expanded without evidence."
"ctx_029","no fever","acr_132_v3","presentation","factual","signs_and_labs","explicit_negative_sign","negated fever predicate","The explicit absence of fever is a checkable clinical condition.","Missing temperature documentation is unknown, not no fever."
"ctx_030","no high white blood cell (WBC) count","acr_132_v3","presentation","factual","signs_and_labs","explicit_negative_laboratory_state","negated high-WBC predicate","The explicit absence of a high WBC state is checkable from documented laboratory evidence.","Missing WBC data are unknown, not normal."
"ctx_031","possibly confounded by acute kidney injury or chronic kidney disease","acr_126_v2","constraints_or_confounders","inferential","evidence_interpretation","causal_confounding_assessment","possible confounding AND AKI-or-CKD","This asserts that renal dysfunction may alter the meaning of pancreatic enzyme values.","AKI or CKD itself is a factual/diagnostic state; the confounding relation is the inference coded here."
"ctx_032","pregnant woman","acr_21_v3","population","factual","patient_characteristics","patient_attribute","pregnant AND woman","Pregnancy is a patient attribute that delimits the ACR scenario.","The consequences of pregnancy for modality choice are separate judgments not contained in this value."
"ctx_033","right lower quadrant pain","acr_21_v1;acr_21_v2;acr_21_v3","presentation","factual","symptoms","reported_symptom","atomic","Pain location is a patient-reported manifestation.","None."
"ctx_034","right upper quadrant pain","acr_132_v1;acr_132_v2;acr_132_v3;acr_132_v4;acr_132_v5","presentation","factual","symptoms","reported_symptom","atomic","Pain location is a patient-reported manifestation.","None."
"ctx_035","severe clinical scores","acr_126_v3;acr_126_v4","severity_or_complication","inferential","severity_or_complication","rule_derived_severity","score calculation plus severe-threshold classification","A severity score synthesizes several inputs under a named rule and threshold.","Store the score system, numeric score, and threshold when available."
"ctx_036","significant deterioration in clinical status","acr_126_v5","severity_or_complication","inferential","severity_or_complication","global_course_judgment","global judgment with listed OR examples in source Variant","Significant deterioration is a synthesis over trajectory evidence.","Do not promote one minor change to significant deterioration; retain the supporting factual changes separately."
"ctx_037","signs of infection","acr_126_v6","presentation","inferential","evidence_interpretation","pattern_interpretation","collective evidence judgment","Signs of infection summarizes the meaning of one or more observations rather than naming a specific raw sign.","Extract fever, WBC, cultures, or other underlying findings separately when available."
"ctx_038","suspected acalculous cholecystitis","acr_132_v5","condition","inferential","diagnosis","suspected_diagnostic_frame","suspected AND named diagnosis","A suspected named disease is a diagnostic judgment organizing the scenario.","Preserve suspected status; do not convert it to established."
"ctx_039","suspected acute pancreatitis","acr_126_v1;acr_126_v2","condition","inferential","diagnosis","suspected_diagnostic_frame","suspected AND named diagnosis","A suspected named disease is a diagnostic judgment organizing the scenario.","Preserve suspected status; enzyme abnormalities alone do not establish the diagnosis."
"ctx_040","suspected appendicitis","acr_21_v2;acr_21_v3","condition","inferential","diagnosis","suspected_diagnostic_frame","suspected AND named diagnosis","A suspected named disease is a diagnostic judgment organizing the scenario.","Preserve suspected status."
"ctx_041","suspected biliary disease","acr_132_v2;acr_132_v3;acr_132_v4","condition","inferential","diagnosis","suspected_diagnostic_frame","suspected AND broad disease family","A suspected disease family is a diagnostic judgment organizing the scenario.","Do not silently narrow it to cholecystitis or choledocholithiasis."
